img_id,lung_area_px,lung_area_mm2,lung_volume_fraction,lung_mean_hu,lung_pd95_hu,lung_pd05_hu
ID_0000_Z_0142.tif,57342.0000,40318.59375,0.218742371,-644.7506714,-368,-798
ID_0001_Z_0146.tif,95955.0000,67468.35938,0.366039276,-720.0429785,-544,-847
ID_0002_Z_0162.tif,60782.0000,42737.34375,0.231864929,-616.7226317,-294,-777
ID_0003_Z_0132.tif,52852.0000,37161.5625,0.20161438,-664.0364414,-267.55,-851
ID_0004_Z_0066.tif,81260.0000,57135.9375,0.3099823,-675.3479695,-295,-842
ID_0005_Z_0066.tif,52456.0000,36883.125,0.20010376,-596.4388821,-356,-749
ID_0006_Z_0206.tif,59331.0000,41717.10938,0.226329803,-625.4058418,-392,-777
ID_0007_Z_0211.tif,75752.0000,53263.125,0.288970947,-641.878221,-356,-813
ID_0008_Z_0065.tif,75298.0000,52943.90625,0.287239075,-675.1177853,-340,-841
ID_0009_Z_0114.tif,62030.0000,43614.84375,0.236625671,-661.7012897,-345,-836
ID_0010_Z_0259.tif,73031.0000,51349.92188,0.278591156,-696.8417384,-434,-842
ID_0011_Z_0156.tif,72748.0000,51150.9375,0.277511597,-651.629653,-291.35,-821
ID_0012_Z_0167.tif,79156.0000,55656.5625,0.301956177,-688.6208247,-398,-837
ID_0013_Z_0047.tif,37612.0000,26445.9375,0.143478394,-669.8312773,-391,-817
ID_0014_Z_0116.tif,48663.0000,34216.17188,0.185634613,-673.343567,-278,-848
ID_0015_Z_0136.tif,62798.0000,44154.84375,0.239555359,-675.5979171,-353,-837
ID_0016_Z_0208.tif,66278.0000,46601.71875,0.252830505,-688.3661849,-444,-841
ID_0017_Z_0061.tif,77068.0000,54188.4375,0.293991089,-656.1146131,-352,-821
ID_0018_Z_0069.tif,85528.0000,60136.875,0.326263428,-661.5121364,-318,-825
ID_0019_Z_0088.tif,43894.0000,30862.96875,0.167442322,-656.9117191,-376,-807
ID_0020_Z_0070.tif,58226.0000,40940.15625,0.222114563,-698.1707656,-388,-853
ID_0021_Z_0066.tif,58870.0000,41392.96875,0.224571228,-647.3020724,-213,-829
ID_0022_Z_0131.tif,42984.0000,30223.125,0.163970947,-560.0359669,-250,-733
ID_0023_Z_0241.tif,83338.0000,58597.03125,0.317909241,-697.7357628,-406,-846
ID_0024_Z_0086.tif,61021.0000,42905.39063,0.232776642,-642.5626588,-315,-809
ID_0025_Z_0112.tif,29160.0000,20503.125,0.111236572,-599.4674211,-225,-773
ID_0026_Z_0140.tif,61252.0000,43067.8125,0.233657837,-635.3022105,-281,-826
ID_0027_Z_0125.tif,62415.0000,43885.54688,0.23809433,-649.3564368,-279,-826
ID_0028_Z_0125.tif,72639.0000,51074.29688,0.277095795,-666.3664698,-360,-840
ID_0029_Z_0059.tif,45753.0000,32170.07813,0.174533844,-605.7524315,-170.6,-810
ID_0030_Z_0302.tif,72995.0000,51324.60938,0.278453827,-719.2710186,-452,-869
ID_0031_Z_0232.tif,48442.0000,34060.78125,0.184791565,-655.0561496,-402,-806
ID_0032_Z_0055.tif,54836.0000,38556.5625,0.209182739,-549.039992,-139,-789
ID_0033_Z_0278.tif,59813.0000,42056.01563,0.228168488,-685.194339,-416,-827
ID_0034_Z_0066.tif,39898.0000,28053.28125,0.152198792,-649.6921149,-366,-801
ID_0035_Z_0224.tif,59471.0000,41815.54688,0.226863861,-654.6456929,-410,-804
ID_0036_Z_0060.tif,55199.0000,38811.79688,0.210567474,-634.2198228,-275,-809
ID_0037_Z_0150.tif,53328.0000,37496.25,0.203430176,-675.1993324,-172.35,-871
ID_0038_Z_0148.tif,38999.0000,27421.17188,0.148769379,-668.6707608,-442,-807
ID_0039_Z_0112.tif,67525.0000,47478.51563,0.257587433,-661.7910996,-332,-833
ID_0040_Z_0066.tif,55079.0000,38727.42188,0.210109711,-638.6325278,-247,-824
ID_0041_Z_0336.tif,86275.0000,60662.10938,0.329113007,-710.0627065,-433,-866
ID_0042_Z_0366.tif,77602.0000,54563.90625,0.296028137,-687.4832221,-358,-881
ID_0043_Z_0097.tif,58816.0000,41355,0.224365234,-626.4358848,-308.75,-787
ID_0044_Z_0116.tif,43730.0000,30747.65625,0.166816711,-630.2898011,-272,-797
ID_0045_Z_0131.tif,63064.0000,44341.875,0.240570068,-684.4129456,-362,-865
ID_0046_Z_0110.tif,23126.0000,16260.46875,0.088218689,-548.5339445,-211,-750
ID_0047_Z_0272.tif,65217.0000,45855.70313,0.248783112,-646.6712054,-377,-804
ID_0048_Z_0294.tif,100199.0000,70452.42188,0.382228851,-728.4541961,-391,-896
ID_0049_Z_0105.tif,23563.0000,16567.73438,0.089885712,-504.1980648,-57.1,-850
ID_0050_Z_0085.tif,74551.0000,52418.67188,0.284389496,-684.5576317,-345,-835
ID_0051_Z_0130.tif,59264.0000,41670,0.226074219,-608.262014,-201,-852
ID_0052_Z_0108.tif,94390.0000,66367.96875,0.360069275,-667.9078292,-217,-886
ID_0053_Z_0127.tif,52982.0000,37252.96875,0.202110291,-622.1786645,-322,-811
ID_0054_Z_0135.tif,71436.0000,50228.4375,0.272506714,-713.2705639,-512,-853
ID_0055_Z_0122.tif,64029.0000,45020.39063,0.244251251,-673.7302785,-338,-849
ID_0056_Z_0163.tif,54604.0000,38393.4375,0.208297729,-613.3731778,-205,-787
ID_0057_Z_0070.tif,40040.0000,28153.125,0.152740479,-646.6842657,-347,-789.05
ID_0058_Z_0150.tif,66362.0000,46660.78125,0.25315094,-647.3974112,-310,-810
ID_0059_Z_0150.tif,79534.0000,55922.34375,0.303398132,-688.9142882,-396,-851
ID_0060_Z_0147.tif,45081.0000,31697.57813,0.171970367,-656.1444955,-331,-824
ID_0061_Z_0064.tif,53661.0000,37730.39063,0.20470047,-632.4167831,-237,-801
ID_0062_Z_0125.tif,81075.0000,57005.85938,0.309276581,-651.1205797,-292,-815
ID_0063_Z_0067.tif,85611.0000,60195.23438,0.326580048,-683.1315952,-373,-838
ID_0064_Z_0069.tif,58259.0000,40963.35938,0.222240448,-601.1000875,-27,-812
ID_0065_Z_0126.tif,61407.0000,43176.79688,0.234249115,-645.2059537,-365,-826
ID_0066_Z_0141.tif,44269.0000,31126.64063,0.168872833,-652.2786148,-260,-858
ID_0067_Z_0238.tif,70966.0000,49897.96875,0.270713806,-701.6347265,-484,-836
ID_0068_Z_0055.tif,54531.0000,38342.10938,0.208019257,-587.9602795,-129,-801
ID_0069_Z_0054.tif,40832.0000,28710,0.155761719,-595.1130486,-231,-791
ID_0070_Z_0120.tif,71151.0000,50028.04688,0.271419525,-650.2814156,-252,-821
ID_0071_Z_0072.tif,54790.0000,38524.21875,0.209007263,-628.7600657,-381,-768
ID_0072_Z_0119.tif,49705.0000,34948.82813,0.189609528,-646.1083996,-406,-791
ID_0073_Z_0076.tif,63057.0000,44336.95313,0.240543365,-663.0948983,-280.8,-830
ID_0074_Z_0066.tif,41615.0000,29260.54688,0.158748627,-599.6939565,-176,-781
ID_0075_Z_0061.tif,50599.0000,35577.42188,0.193019867,-625.8759462,-228,-791
ID_0076_Z_0230.tif,88213.0000,62024.76563,0.33650589,-683.5401698,-373.6,-838
